	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-074-B2_S125_L001_R1_001	122.0	59.0	196.0	499.0	25.0	10.0	2.0	0.0	6.0	2.0	2.0	41.0	1.0	1.0	2.0	2.0	6.0	5.0	79.0	69.0	14.0	3.0	23.0	3.0	4.0	1.0	21890.0	49435.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-074-B2_S125_L001_R2_001	59.0	53.0	176.0	475.0	27.0	18.0	2.0	0.0	7.0	2.0	1.0	41.0	0.0	1.0	2.0	2.0	4.0	4.0	39.0	17.0	14.0	3.0	13.0	1.0	5.0	1.0	5165.0	66370.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-074-B3_S126_L001_R1_001	173.0	91.0	113.0	953.0	20.0	9.0	9.0	4.0	2.0	1.0	1.0	1.0	3.0	4.0	4.0	0.0	12.0	3.0	76.0	57.0	11.0	6.0	128.0	2.0	1.0	7.0	14532.0	70519.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-074-B3_S126_L001_R2_001	38.0	84.0	93.0	938.0	23.0	29.0	9.0	4.0	2.0	1.0	1.0	2.0	2.0	5.0	4.0	0.0	12.0	2.0	45.0	16.0	8.0	5.0	110.0	1.0	2.0	6.0	5575.0	79725.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-074-S1_S121_L001_R1_001	217.0	123.0	564.0	974.0	18.0	6.0	12.0	13.0	32.0	26.0	4.0	3.0	15.0	99.0	12.0	9.0	7.0	6.0	45.0	53.0	8.0	1.0	11.0	4.0	4.0	2.0	2177.0	75996.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-074-S1_S121_L001_R2_001	60.0	110.0	513.0	941.0	30.0	43.0	12.0	13.0	32.0	26.0	4.0	3.0	13.0	86.0	10.0	9.0	4.0	5.0	17.0	17.0	8.0	0.0	12.0	5.0	3.0	1.0	5607.0	72857.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-074-S2_S122_L001_R1_001	247.0	79.0	257.0	730.0	44.0	8.0	35.0	1.0	58.0	4.0	5.0	0.0	6.0	6.0	26.0	6.0	5.0	8.0	59.0	35.0	6.0	7.0	2.0	3.0	6.0	3.0	11276.0	71552.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-074-S2_S122_L001_R2_001	71.0	72.0	246.0	704.0	82.0	57.0	31.0	1.0	51.0	2.0	4.0	0.0	8.0	7.0	23.0	5.0	6.0	7.0	24.0	15.0	5.0	7.0	1.0	2.0	4.0	3.0	4385.0	78651.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-074-S3_S123_L001_R1_001	190.0	85.0	263.0	820.0	25.0	7.0	3.0	2.0	6.0	2.0	5.0	4.0	18.0	0.0	5.0	5.0	5.0	14.0	31.0	31.0	3.0	2.0	2.0	4.0	3.0	1.0	4229.0	60634.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-074-S3_S123_L001_R2_001	53.0	77.0	246.0	777.0	30.0	20.0	3.0	2.0	6.0	2.0	3.0	3.0	12.0	0.0	4.0	5.0	5.0	16.0	14.0	13.0	2.0	2.0	0.0	4.0	3.0	1.0	4592.0	60504.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-075-B1_S130_L001_R1_001	574.0	120.0	819.0	1994.0	72.0	18.0	4.0	0.0	50.0	6.0	1.0	29.0	8.0	20.0	8.0	32.0	11.0	38.0	79.0	34.0	11.0	5.0	17.0	4.0	8.0	11.0	3093.0	83355.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-075-B1_S130_L001_R2_001	144.0	102.0	780.0	1934.0	114.0	137.0	3.0	0.0	51.0	3.0	1.0	27.0	7.0	16.0	7.0	27.0	10.0	32.0	56.0	18.0	9.0	4.0	12.0	3.0	6.0	7.0	5565.0	81346.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-075-B2_S131_L001_R1_001	598.0	127.0	1108.0	1791.0	136.0	14.0	5.0	8.0	8.0	0.0	7.0	26.0	9.0	7.0	25.0	2.0	3.0	16.0	62.0	31.0	12.0	1.0	13.0	3.0	11.0	14.0	3278.0	61163.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-075-B2_S131_L001_R2_001	101.0	120.0	1045.0	1691.0	285.0	62.0	5.0	11.0	6.0	0.0	7.0	24.0	6.0	7.0	20.0	1.0	2.0	16.0	36.0	17.0	11.0	0.0	8.0	3.0	5.0	6.0	4612.0	60371.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-075-B3_S132_L001_R1_001	488.0	61.0	642.0	1880.0	75.0	15.0	22.0	19.0	4.0	49.0	39.0	8.0	4.0	10.0	4.0	50.0	4.0	25.0	96.0	31.0	3.0	2.0	3.0	10.0	3.0	8.0	2492.0	77683.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-075-B3_S132_L001_R2_001	71.0	51.0	578.0	1813.0	92.0	136.0	20.0	20.0	3.0	45.0	35.0	6.0	3.0	8.0	4.0	47.0	3.0	23.0	51.0	10.0	3.0	3.0	3.0	5.0	2.0	4.0	7357.0	73334.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-075-S1_S127_L001_R1_001	1127.0	1157.0	2007.0	6743.0	133.0	26.0	9.0	5.0	15.0	3.0	2.0	25.0	4.0	8.0	1.0	3.0	5.0	11.0	47.0	40.0	23.0	9.0	1028.0	3.0	5.0	0.0	10297.0	70164.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-075-S1_S127_L001_R2_001	227.0	1047.0	1885.0	6400.0	182.0	219.0	8.0	5.0	12.0	1.0	2.0	24.0	4.0	6.0	1.0	3.0	2.0	10.0	20.0	8.0	20.0	9.0	905.0	3.0	2.0	0.0	8027.0	73868.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-075-S2_S128_L001_R1_001	1019.0	239.0	1217.0	3438.0	147.0	18.0	4.0	2.0	18.0	1.0	2.0	39.0	2.0	0.0	4.0	0.0	7.0	11.0	131.0	44.0	12.0	0.0	101.0	1.0	3.0	5.0	14494.0	53090.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-075-S2_S128_L001_R2_001	190.0	224.0	1172.0	3344.0	261.0	167.0	4.0	2.0	14.0	0.0	1.0	38.0	1.0	0.0	4.0	0.0	5.0	10.0	86.0	18.0	12.0	0.0	92.0	1.0	1.0	4.0	4358.0	64040.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-075-S3_S129_L001_R1_001	691.0	205.0	1031.0	4595.0	144.0	14.0	3.0	1.0	20.0	10.0	1.0	38.0	1.0	0.0	7.0	7.0	1.0	8.0	105.0	36.0	15.0	4.0	133.0	4.0	4.0	2.0	24430.0	56144.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-075-S3_S129_L001_R2_001	164.0	183.0	987.0	4432.0	210.0	152.0	5.0	1.0	20.0	9.0	1.0	37.0	1.0	0.0	6.0	7.0	1.0	10.0	53.0	18.0	13.0	4.0	123.0	3.0	4.0	0.0	6859.0	74351.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-076-B1_S136_L001_R1_001	1895.0	555.0	2080.0	3570.0	140.0	140.0	26.0	19.0	23.0	13.0	5.0	29.0	19.0	7.0	5.0	5.0	5.0	10.0	120.0	50.0	6.0	3.0	153.0	11.0	4.0	5.0	6617.0	39945.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-076-B1_S136_L001_R2_001	395.0	536.0	1997.0	3496.0	255.0	352.0	17.0	14.0	17.0	8.0	3.0	29.0	19.0	7.0	5.0	4.0	5.0	8.0	46.0	27.0	5.0	3.0	141.0	8.0	3.0	3.0	2992.0	45065.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-076-B2_S137_L001_R1_001	3588.0	550.0	4659.0	5107.0	261.0	149.0	21.0	9.0	38.0	12.0	24.0	21.0	22.0	28.0	16.0	9.0	14.0	35.0	121.0	37.0	10.0	9.0	385.0	29.0	2.0	14.0	8713.0	75350.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-076-B2_S137_L001_R2_001	1020.0	516.0	4295.0	4876.0	391.0	789.0	22.0	2.0	27.0	10.0	22.0	19.0	23.0	25.0	15.0	8.0	10.0	32.0	57.0	14.0	11.0	8.0	367.0	20.0	2.0	8.0	6003.0	80641.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-076-B3_S138_L001_R1_001	963.0	808.0	1052.0	4226.0	99.0	86.0	6.0	4.0	5.0	6.0	2.0	15.0	3.0	0.0	2.0	1.0	2.0	6.0	93.0	11.0	11.0	2.0	11.0	4.0	6.0	5.0	4627.0	51227.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-076-B3_S138_L001_R2_001	294.0	749.0	1047.0	4178.0	121.0	267.0	3.0	3.0	1.0	2.0	1.0	12.0	2.0	0.0	1.0	1.0	2.0	6.0	34.0	6.0	12.0	2.0	8.0	2.0	2.0	2.0	3416.0	53109.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-076-S1_S133_L001_R1_001	1376.0	305.0	1384.0	4002.0	177.0	33.0	10.0	17.0	33.0	5.0	5.0	32.0	6.0	3.0	3.0	6.0	4.0	5.0	134.0	52.0	19.0	10.0	3.0	3.0	5.0	2.0	22082.0	63806.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-076-S1_S133_L001_R2_001	289.0	267.0	1277.0	3880.0	257.0	244.0	9.0	17.0	32.0	4.0	5.0	30.0	6.0	1.0	2.0	5.0	3.0	5.0	56.0	13.0	17.0	7.0	2.0	3.0	4.0	2.0	6750.0	80335.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-076-S2_S134_L001_R1_001	1691.0	263.0	2286.0	4582.0	209.0	40.0	2.0	21.0	40.0	11.0	5.0	32.0	7.0	5.0	6.0	9.0	10.0	11.0	126.0	55.0	8.0	3.0	49.0	9.0	3.0	12.0	22065.0	62101.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-076-S2_S134_L001_R2_001	130.0	179.0	1736.0	4370.0	378.0	455.0	3.0	17.0	35.0	7.0	4.0	29.0	6.0	3.0	4.0	4.0	7.0	8.0	45.0	17.0	5.0	2.0	25.0	1.0	2.0	2.0	8708.0	77479.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-076-S3_S135_L001_R1_001	1905.0	566.0	3183.0	5249.0	92.0	173.0	207.0	313.0	158.0	35.0	263.0	65.0	9.0	177.0	6.0	6.0	3.0	23.0	81.0	37.0	7.0	8.0	222.0	3.0	6.0	7.0	13322.0	74805.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
