Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>100	>5k	>500	>50	>10k+	>1k	>10
230929-COI-COL-074-B1_S124_L001_R1_001										34.269216632480045	0.0	0.0	13.805859546365351	0.0	0.0	22.705445749991107
230929-COI-COL-074-B1_S124_L001_R2_001										5.228773668796908	20.440829489809225	4.721309920442015	2.2634305972184348	12.853772186718205	25.81425404014655	6.358710472960956
230929-COI-COL-074-B2_S125_L001_R1_001										48.471766296102174	0.0	0.0	13.763758241151969	0.0	0.0	10.363852031668092
230929-COI-COL-074-B2_S125_L001_R2_001										6.711538992027806	16.759537667926402	1.2799646906292241	2.5502744751868915	34.34388016882293	7.824611734848694	5.781909464566494
230929-COI-COL-074-B3_S126_L001_R1_001										43.722764058933386	0.0	0.0	11.563025985105254	0.0	0.0	13.03059648151991
230929-COI-COL-074-B3_S126_L001_R2_001										7.170690092458094	28.605519817389503	6.372921998570473	3.030827050333172	13.005233912061055	12.121002513200064	6.354476493509488
230929-COI-COL-074-S1_S121_L001_R1_001										39.66509615743215	0.0	12.322074563966137	4.9228627192600785	0.0	0.0	14.817070896682042
230929-COI-COL-074-S1_S121_L001_R2_001										6.984000696162405	0.0	3.586479531582153	2.0337887395731036	47.74430949391479	12.663940030581418	6.240598699668079
230929-COI-COL-074-S2_S122_L001_R1_001										37.119113573407205	0.0	19.718493264199637	3.821294126003268	0.0	0.0	13.60300210715723
230929-COI-COL-074-S2_S122_L001_R2_001										6.958354049766792	0.0	2.8565002249212776	2.699055330634278	58.78613537893316	6.527452233823425	5.267893079527428
230929-COI-COL-074-S3_S123_L001_R1_001										52.8321209656772	0.0	1.611470052259823	3.1295652042952455	0.0	0.0	13.081522312083013
230929-COI-COL-074-S3_S123_L001_R2_001										5.954908959472281	0.0	4.355487281434962	3.2651094142984083	48.14379734634558	9.631169144113617	5.6823144926881435
230929-COI-COL-075-B1_S130_L001_R1_001										36.620917707169795	0.0	0.6348082856858472	13.305537430464161	0.0	0.0	17.71822917242676
230929-COI-COL-075-B1_S130_L001_R2_001										7.173112440694086	43.16806936441756	3.891795047610622	2.1654261731235	0.0	15.801638999789871	6.678758253060684
230929-COI-COL-075-B2_S131_L001_R1_001										32.646981512310525	0.0	0.8718128450013143	14.934723560851658	0.0	0.0	13.91249744443471
230929-COI-COL-075-B2_S131_L001_R2_001										10.533309968164959	34.5746079032682	5.051257338123192	2.213849703554426	0.0	13.077192675019713	6.999328251409212
230929-COI-COL-075-B3_S132_L001_R1_001										32.66571121461841	0.0	0.0	14.460766750268721	0.0	0.0	19.591544249372987
230929-COI-COL-075-B3_S132_L001_R2_001										5.313507703332139	30.994864445240655	5.216768183446793	2.52358772244118	0.0	17.901588439030217	7.570763167323539
230929-COI-COL-075-S1_S127_L001_R1_001										30.306781485468242	0.0	0.0	6.207750269106566	0.0	1.1969860064585576	26.956942949407964
230929-COI-COL-075-S1_S127_L001_R2_001										11.136706135629709	8.805166846071044	6.475780409041981	2.9558665231431647	19.53713670613563	16.72766415500538	7.409041980624327
230929-COI-COL-075-S2_S128_L001_R1_001										17.520830801226214	0.0	0.0	18.959067644397628	0.0	1.3639617010358005	29.819443881753976
230929-COI-COL-075-S2_S128_L001_R2_001										9.212818539075478	23.583032856621966	4.623965212224338	2.448378776215749	0.0	30.35017353374117	5.898796742697403
230929-COI-COL-075-S3_S129_L001_R1_001										31.841102516713445	0.0	0.7803408857553563	10.321263148287585	0.0	0.0	24.660597348666347
230929-COI-COL-075-S3_S129_L001_R2_001										9.705204554270198	0.0	2.6159673260775325	3.0631802313642273	30.72421110274488	24.256736714810508	6.606657996212381
230929-COI-COL-076-B1_S136_L001_R1_001										0.0	0.0	0.0	3.829787234042553	0.0	3.4060584204832307	39.2084385142445
230929-COI-COL-076-B1_S136_L001_R2_001										16.42084385142445	0.0	12.704652001442481	4.819689866570501	0.0	22.03209520375045	8.66209880995312
230929-COI-COL-076-B2_S137_L001_R1_001										14.623159634395815	0.0	0.0	11.171686838047828	0.0	3.5844930617838826	29.455926959781525
230929-COI-COL-076-B2_S137_L001_R2_001										11.167655920913406	7.3614624167363685	8.149506716515676	3.3849626636300423	15.210665806737678	18.31346427095825	8.042687412453517
